id	filename	md5	size	state
01954393-6fd5-422b-bf9e-36fab4452619	TCGA-38-6178-01Z-00-DX1.5932337D-BA2B-455D-9E34-22961EFA2170.svs	8e0f787f1d000d37e45eebaa49cff894	755655235	validated
03e2bc97-060e-4575-9510-4d7ec8a9c9e8	TCGA-05-4402-01Z-00-DX1.c653ddc2-88c1-45ac-88e7-4e512b8e8d53.svs	586f4284f9d4f62b21b4d49fe98b7bc6	625776842	validated
05843435-cd47-4dd1-a69b-b46e5e98518f	TCGA-05-4420-01Z-00-DX1.2df0552e-87dc-491e-9be2-be8fbce2660d.svs	7fa08e5b6100d4f96fe1c11d04e0210f	313852628	validated
06f120a8-46a3-4e9b-b15a-c33493ba4164	TCGA-05-5429-01Z-00-DX1.20729065-FADA-4E43-98D7-AFA5FB4A0447.svs	908b55ed86e84f1e23fbfc6779850269	8736228	validated
070defff-1f5d-49e7-85b9-de4508e8a0c9	TCGA-05-4396-01Z-00-DX1.49DD5F68-7473-4945-B384-EA6D5AE383CB.svs	0bdfc71ab94998847b83a0f18d8b458e	465271414	validated
0fa9fe7f-2377-4a80-a25d-e6d985fcf880	TCGA-38-4625-01Z-00-DX1.ffdbfc1d-7a21-4e67-a54f-89597bd14a7f.svs	4cad51ace459440bbc1d8f7c18951651	394947813	validated
100a645f-75a4-4cf7-aad9-3d44578e7abd	TCGA-44-4112-01Z-00-DX1.5380b3b4-0e24-4c6c-aa8c-298c5fbe068f.svs	e36f3e8291e35360c8c9e57a6b592083	357811859	validated
113b75f3-3129-417a-9fd7-e14718b57b86	TCGA-35-4123-01Z-00-DX1.990553a8-657e-49ec-9782-e6d30a4c4909.svs	d3a8ffb63f6913f5e3a459bda39fd5f5	450942981	validated
12a826f1-0683-4ff7-a3a6-4158a2de785f	TCGA-05-4422-01Z-00-DX1.4802093f-71ea-43d5-bd92-b4bd7fc8c5bf.svs	35be3e273b8fb50bba859049840bc3ed	358619644	validated
1509e64e-18dc-43c6-8c0e-99b4cd1c29b8	TCGA-05-5715-01Z-00-DX1.D3F0A1FA-2507-45FF-823F-F9981E62BB4C.svs	4fa517fd701bafcdc011463ece2233d7	7961930	validated
19772eb2-49e3-4271-91b6-cdc1b688fa2a	TCGA-05-4417-01Z-00-DX1.6E534856-996F-4BD9-8AFC-7B1BF627E505.svs	3af1cea82a1f3d36e5cf49a0efce2400	401639522	validated
1c71e69a-d769-4082-8d0a-2ea6480dba43	TCGA-38-4632-01Z-00-DX1.5E05F85C-53BC-4280-8E7F-8B9DECEF849F.svs	1f0b102a40c481ceb3f840406c235b05	214600715	validated
